yearID	weekIndex	rank	appID	uniqueInstall	UU	useRate	totalDuration	avgDuration	dayCounts	genreID
Y1	1	63	N0063	176279	157394	89.29	1649489	10.48	1.1	G04
Y1	1	64	N0064	816680	156296	19.14	5249983	33.59	2.1	G05
Y1	1	65	N0065	780944	153074	19.6	1722083	11.25	1.95	G05
Y1	1	66	N0066	585247	152794	26.11	348370	2.28	1.48	G03
Y1	1	67	N0067	318021	147447	46.36	8646292	58.64	3.65	G03
Y1	1	68	N0068	163687	146920	89.76	279148	1.9	2.25	G07
Y1	1	69	N0069	194269	145121	74.7	5642304	38.88	1.75	G05
Y1	1	70	N0070	184082	138640	75.31	1538904	11.1	2.02	G05
Y1	1	71	N0071	205117	138337	67.44	1698778	12.28	1.67	G04
Y1	1	72	N0072	359986	137120	38.09	7841893	57.19	2.56	G09
Y1	1	73	N0073	1073476	136920	12.75	121859	0.89	1.28	G07
Y1	1	74	N0074	184391	136145	73.83	8253110	60.62	2.54	G04
Y1	1	75	N0075	243065	132239	54.4	3054721	23.1	1.01	G02
Y1	1	76	N0076	131033	131033	100	5494214	41.93	1.39	G10
Y1	1	77	N0077	232940	129608	55.64	50921687	392.89	4.78	G04
Y1	1	78	N0078	184223	128302	69.65	18492167	144.13	3.32	G04
Y1	1	79	N0079	200147	127726	63.82	5971191	46.75	2.37	G03
Y1	1	80	N0080	190775	127385	66.77	27799229	218.23	6.46	G04
Y1	1	81	N0081	204636	124327	60.76	2548704	20.5	1.73	G05
Y1	1	82	N0082	220853	121752	55.13	2464260	20.24	1.56	G01
Y1	1	83	N0083	267911	120499	44.98	3394457	28.17	2.13	G05
Y1	1	84	N0084	220396	119665	54.3	7963706	66.55	2.32	G03
Y1	1	85	N0085	504745	116719	23.12	324479	2.78	2.4	G07
Y1	1	86	N0086	680215	116711	17.16	2544300	21.8	2.42	G03
Y1	1	87	N0087	223350	116559	52.19	66586660	571.27	2.8	G06
Y1	1	88	N0088	237985	115589	48.57	29791909	257.74	4.24	G06
Y1	1	89	N0089	162711	114793	70.55	7795593	67.91	1.17	G05
Y1	1	90	N0090	156970	114767	73.11	1245222	10.85	1.14	G05
Y1	1	91	N0091	124002	112173	90.46	5030959	44.85	2.35	G04
Y1	1	92	N0092	209630	111242	53.07	1693103	15.22	1.35	G03
Y1	1	93	N0093	202037	110471	54.68	2195059	19.87	1.62	G01
Y1	1	94	N0094	122984	110327	89.71	18084802	163.92	4.6	G04
Y1	1	95	N0095	119409	103939	87.04	12966390	124.75	4.07	G04
Y1	1	96	N0096	113748	101838	89.53	227099	2.23	1	G04
Y1	1	97	N0097	1736288	101747	5.86	2231312	21.93	1.16	G07
Y1	1	98	N0098	104978	99250	94.54	522055	5.26	1.34	G03
Y1	1	99	N0099	98063	98063	100	8372619	85.38	2.61	G04
Y1	1	100	N0100	154207	97938	63.51	22032132	224.96	4.12	G03
Y1	2	1	N0001	7349592	6407411	87.18	1076637270	168.03	4.49	G01
Y1	2	2	N0002	8529957	5500860	64.49	504538879	91.72	3.9	G02
Y1	2	3	N0003	8152397	5152989	63.21	781966081	151.75	4.18	G03
Y1	2	4	N0004	4825974	2148405	44.52	91736894	42.7	2.87	G03
Y1	2	5	N0005	2863827	2040674	71.26	192925320	94.54	3.64	G03
Y1	2	6	N0006	2449521	1815613	74.12	975074962	537.05	5.2	G04
Y1	2	7	N0101	2192294	1123546	51.25	33638967	29.94	2	G05
Y1	2	8	N0008	1618183	1034477	63.93	104482177	101	3.03	G05
Y1	2	9	N0012	1170391	897913	76.72	132801333	147.9	3.21	G04
Y1	2	10	N0102	1274140	837187	65.71	74149653	88.57	3.52	G06
Y1	2	11	N0011	1080290	821299	76.03	227376628	276.85	5.79	G04
Y1	2	12	N0028	918289	812649	88.5	76494650	94.13	2.26	G05
Y1	2	13	N0010	3065069	768975	25.09	18655334	24.26	2.47	G03
Y1	2	14	N0013	1109324	715169	64.47	38526154	53.87	3	G05
Y1	2	15	N0014	948250	647311	68.26	29161361	45.05	2.76	G03
Y1	2	16	N0025	696168	612673	88.01	24868397	40.59	2.72	G03
Y1	2	17	N0017	584710	546953	93.54	214257899	391.73	4.63	G04
Y1	2	18	N0018	700687	530672	75.74	54367346	102.45	4.79	G07
Y1	2	19	N0016	708477	491566	69.38	40519785	82.43	3.12	G03
Y1	2	20	N0032	536379	470902	87.79	95503635	202.81	3.1	G06
Y1	2	21	N0021	577916	469485	81.24	158066210	336.68	5.42	G04
Y1	2	22	N0023	455701	429558	94.26	3634061	8.46	3.64	G07
Y1	2	23	N0022	907085	419329	46.23	13607226	32.45	1.78	G05
Y1	2	24	N0015	1469646	416712	28.35	14322391	34.37	2.99	G03
Y1	2	25	N0019	689362	354332	51.4	16515415	46.61	2.88	G05
Y1	2	26	N0103	339455	312733	92.13	31839347	101.81	1.33	G04
Y1	2	27	N0055	411545	306871	74.57	75106677	244.75	2.55	G04
Y1	2	28	N0104	501533	293485	58.52	23675435	80.67	4.28	G03
Y1	2	29	N0029	638609	288167	45.12	6521219	22.63	2.24	G03
Y1	2	30	N0046	352154	284417	80.76	15540545	54.64	2.15	G01
Y1	2	31	N0033	521604	279315	53.55	14736659	52.76	1.81	G03
Y1	2	32	N0030	1148375	276182	24.05	2353071	8.52	1.49	G08
Y1	2	33	N0054	287438	276068	96.04	7172247	25.98	4.59	G07
Y1	2	34	N0037	370840	268686	72.45	31541050	117.39	4.53	G03
Y1	2	35	N0026	1018427	264167	25.94	5872432	22.23	1.78	G05
Y1	2	36	N0034	396734	256817	64.73	37757235	147.02	4.1	G09
Y1	2	37	N0086	687252	227398	33.09	3626998	15.95	2.08	G03
Y1	2	38	N0105	219957	217578	98.92	5781047	26.57	1.78	G01
Y1	2	39	N0056	502252	210560	41.92	2482502	11.79	1.41	G05
Y1	2	40	N0065	726818	209181	28.78	1665081	7.96	1.15	G05
Y1	2	41	N0043	278748	207380	74.4	21109210	101.79	3.07	G03
Y1	2	42	N0106	257551	202684	78.7	1463378	7.22	1	G04
Y1	2	43	N0040	346886	200961	57.93	88899118	442.37	4.78	G04
Y1	2	44	N0035	423550	199360	47.07	13131843	65.87	2.21	G04
Y1	2	45	N0024	865572	198304	22.91	3390998	17.1	2.71	G03
Y1	2	46	N0042	420862	197261	46.87	4734264	24	1.91	G07
Y1	2	47	N0050	704215	195956	27.83	948427	4.84	1.79	G07
Y1	2	48	N0053	585957	189936	32.41	229823	1.21	1.07	G07
Y1	2	49	N0107	351446	188218	53.56	12010191	63.81	2.31	G04
Y1	2	50	N0039	267439	186024	69.56	3932547	21.14	1.43	G05
Y1	2	51	N0073	1186595	178914	15.08	493803	2.76	1.55	G07
Y1	2	52	N0049	243868	171306	70.25	902783	5.27	1.88	G04
Y1	2	53	N0108	257192	169638	65.96	4096758	24.15	1.5	G10
Y1	2	54	N0020	568156	168082	29.58	6787151	40.38	2.65	G03
Y1	2	55	N0064	769309	167831	21.82	6377578	38	1.8	G05
Y1	2	56	N0059	529221	166743	31.51	14563334	87.34	2.59	G03
Y1	2	57	N0036	430743	164633	38.22	4471432	27.16	2.22	G03
Y1	2	58	N0038	533503	162331	30.43	15817533	97.44	2.8	G02
Y1	2	59	N0052	230516	159348	69.13	28551975	179.18	4.59	G04
Y1	2	60	N0044	387364	150561	38.87	18458779	122.6	2.28	G10
Y1	2	61	N0045	267207	144839	54.2	2470953	17.06	2.08	G05
Y1	2	62	N0109	334299	143669	42.98	3558681	24.77	1.28	G05
Y1	2	63	N0048	153157	142609	93.11	1625743	11.4	2.72	G05
Y1	2	64	N0110	274541	139851	50.94	2817998	20.15	1.56	G06
Y1	2	65	N0111	200247	139474	69.65	46227263	331.44	2.41	G10
Y1	2	66	N0080	181787	137243	75.5	68863048	501.76	6.56	G04
Y1	2	67	N0041	516840	135283	26.18	1895315	14.01	1.42	G01
Y1	2	68	N0112	134220	134220	100	609359	4.54	1.38	G04
Y1	2	69	N0085	511270	133179	26.05	566011	4.25	3.11	G07
Y1	2	70	N0051	206541	125567	60.8	2903109	23.12	1.87	G05
Y1	2	71	N0062	478723	125167	26.15	3662386	29.26	1.35	G04
Y1	2	72	N0092	161421	124679	77.24	1352767	10.85	1.31	G03
Y1	2	73	N0071	135501	124003	91.51	1681481	13.56	1.77	G04
Y1	2	74	N0113	174752	122939	70.35	5099510	41.48	3.13	G04
Y1	2	75	N0114	126180	122827	97.34	2995751	24.39	1.66	G04
Y1	2	76	N0061	410126	120235	29.32	1665255	13.85	1.35	G02
Y1	2	77	N0057	216615	119059	54.96	24826183	208.52	3.64	G04
Y1	2	78	N0115	170369	118702	69.67	7370207	62.09	1.83	G09
Y1	2	79	N0116	145316	118047	81.23	2213381	18.75	1.74	G04
Y1	2	80	N0077	210443	115856	55.05	46754847	403.56	5.08	G04
Y1	2	81	N0084	201971	114369	56.63	10225732	89.41	5.04	G03
Y1	2	82	N0117	178632	111988	62.69	6000317	53.58	2.62	G03
Y1	2	83	N0058	358170	111550	31.14	2846756	25.52	1.23	G01
Y1	2	84	N0118	167989	110333	65.68	2213280	20.06	2.75	G05
Y1	2	85	N0088	211334	109366	51.75	25311667	231.44	4.96	G06
Y1	2	86	N0067	282554	106298	37.62	6395951	60.17	3.78	G03
Y1	2	87	N0119	112214	106082	94.54	303395	2.86	1.17	G04
Y1	2	88	N0083	254417	104863	41.22	6285488	59.94	2.57	G05
Y1	2	89	N0120	145278	103558	71.28	1129818	10.91	2.59	G07
Y1	2	90	N0072	308477	103341	33.5	10094349	97.68	3.42	G09
Y1	2	91	N0075	215540	102955	47.77	1265317	12.29	2.52	G02
Y1	2	92	N0012	115897	101962	87.98	1936258	18.99	1.77	G04
Y1	2	93	N0095	118743	101124	85.16	4394849	43.46	5.16	G04
Y1	2	94	N0121	100344	100344	100	94323	0.94	1	G07
Y1	2	95	N0122	99018	99018	100	2698241	27.25	6.29	G04
Y1	2	96	N0068	149625	97701	65.3	434769	4.45	1.11	G07
Y1	2	97	N0123	97524	97524	100	884543	9.07	1	G07
Y1	2	98	N0070	186585	96406	51.67	1356432	14.07	1.15	G05
Y1	2	99	N0124	145459	95282	65.5	5035654	52.85	2.3	G06
Y1	2	100	N0078	175650	93852	53.43	17504337	186.51	3.53	G04
Y1	3	1	N0001	7366633	6255500	84.92	798702240	127.68	4.29	G01
Y1	3	2	N0002	8297662	5129516	61.82	425390762	82.93	3.88	G02
Y1	3	3	N0003	8029784	4879559	60.77	793757863	162.67	4.43	G03
Y1	3	4	N0004	4439059	2254492	50.79	81409706	36.11	2.9	G03
Y1	3	5	N0005	2843352	1942070	68.3	183758663	94.62	3.58	G03
Y1	3	6	N0006	2325470	1801232	77.46	766712413	425.66	5.13	G04
Y1	3	7	N0028	1366632	1147977	84	104764381	91.26	2.69	G05
Y1	3	8	N0102	1388836	1042058	75.03	64784746	62.17	3.17	G06
Y1	3	9	N0008	1462262	971428	66.43	66076533	68.02	2.82	G05
Y1	3	10	N0101	2081452	951711	45.72	25410684	26.7	1.92	G05
Y1	3	11	N0012	1161460	913995	78.69	159766326	174.8	3.22	G04
Y1	3	12	N0011	1054578	884869	83.91	222013632	250.9	5.44	G04
Y1	3	13	N0103	803077	747863	93.12	213851425	285.95	3.32	G04
Y1	3	14	N0013	1038011	690249	66.5	33766981	48.92	3.09	G05
Y1	3	15	N0010	2833718	675552	23.84	13139486	19.45	2.49	G03
Y1	3	16	N0018	737471	628375	85.21	49836421	79.31	3.5	G07
Y1	3	17	N0016	731588	563548	77.03	53948450	95.73	3.96	G03
Y1	3	18	N0025	695270	563039	80.98	22026086	39.12	2.6	G03
Y1	3	19	N0019	770473	551373	71.56	25489974	46.23	2.5	G05
Y1	3	20	N0014	841777	544528	64.69	28849093	52.98	2.73	G03
Y1	3	21	N0125	594679	472279	79.42	9148044	19.37	1.13	G10
Y1	3	22	N0021	559063	443859	79.39	165599354	373.09	5.4	G04
Y1	3	23	N0030	1066954	428392	40.15	3487111	8.14	1.76	G08
Y1	3	24	N0023	455528	417908	91.74	1654916	3.96	2.41	G07
Y1	3	25	N0015	1414337	416984	29.48	9744916	23.37	2.82	G03
Y1	3	26	N0017	486200	394000	81.04	166256180	421.97	4.85	G04
Y1	3	27	N0037	406135	354704	87.34	35942156	101.33	3.86	G03
Y1	3	28	N0022	855993	351751	41.09	9050553	25.73	1.94	G05
Y1	3	29	N0104	534324	336920	63.06	24372793	72.34	3.45	G03
Y1	3	30	N0046	383683	314866	82.06	24427304	77.58	2.44	G01
Y1	3	31	N0038	549434	304804	55.48	20723624	67.99	2.59	G02
Y1	3	32	N0054	305554	288529	94.43	4578955	15.87	4.79	G07
Y1	3	33	N0034	419718	282270	67.25	54881756	194.43	4.18	G09
Y1	3	34	N0064	792192	265856	33.56	5104435	19.2	1.56	G05
Y1	3	35	N0024	802276	254351	31.7	2838557	11.16	2.08	G03
Y1	3	36	N0099	280136	250441	89.4	42787845	170.85	3.96	G04
Y1	3	37	N0050	706072	236245	33.46	1861611	7.88	1.75	G07
Y1	3	38	N0029	585102	235804	40.3	5109873	21.67	2.6	G03
Y1	3	39	N0032	429120	231653	53.98	69495900	300	4.08	G06
Y1	3	40	N0066	539743	226478	41.96	2547878	11.25	1.43	G03
Y1	3	41	N0020	541836	224902	41.51	8481054	37.71	2.61	G03
Y1	3	42	N0040	323479	218369	67.51	83002057	380.1	3.91	G04
Y1	3	43	N0026	989741	217426	21.97	7157664	32.92	1.77	G05
Y1	3	44	N0043	260540	214367	82.28	20099050	93.76	2.87	G03
Y1	3	45	N0042	351584	210674	59.92	4428367	21.02	2.47	G07
Y1	3	46	N0055	314442	209872	66.74	87317246	416.05	3.86	G04
Y1	3	47	N0035	368416	201419	54.67	8902720	44.2	1.82	G04
Y1	3	48	N0126	205686	194407	94.52	7887092	40.57	1	G05
Y1	3	49	N0085	481462	190603	39.59	411702	2.16	2.57	G07
Y1	3	50	N0113	249074	188909	75.84	25733184	136.22	3.06	G04
Y1	3	51	N0057	295708	182845	61.83	15516227	84.86	3	G04
Y1	3	52	N0073	1268651	177012	13.95	219495	1.24	1.21	G07
Y1	3	53	N0056	448735	176850	39.41	2148728	12.15	1.6	G05
Y1	3	54	N0068	168222	165610	98.45	102678	0.62	1.3	G07
Y1	3	55	N0127	163726	163726	100	38076119	232.56	3.98	G04
Y1	3	56	N0052	231268	161721	69.93	20313775	125.61	3.18	G04
Y1	3	57	N0033	544336	160109	29.41	43179796	269.69	3.96	G03
Y1	3	58	N0128	162741	155515	95.56	15893633	102.2	2.24	G04
Y1	3	59	N0044	321301	152255	47.39	9415449	61.84	2.17	G10
Y1	3	60	N0039	288633	148469	51.44	3113395	20.97	1.72	G05
Y1	3	61	N0065	689190	148102	21.49	1547666	10.45	1.3	G05
Y1	3	62	N0088	240568	147008	61.11	26098330	177.53	3.99	G06
Y1	3	63	N0107	242721	144721	59.62	11382307	78.65	2.59	G04
Y1	3	64	N0093	249211	143130	57.43	1857827	12.98	1.29	G01
Y1	3	65	N0089	225686	141461	62.68	1543340	10.91	1.52	G05
Y1	3	66	N0129	181024	141400	78.11	21184548	149.82	4.35	G04
Y1	3	67	N0080	184451	139306	75.52	23641621	169.71	4.71	G04
Y1	3	68	N0086	629207	135854	21.59	1020264	7.51	1.9	G03
Y1	3	69	N0084	220706	135167	61.24	5428307	40.16	2.8	G03
Y1	3	70	N0049	263360	134445	51.05	832215	6.19	3.52	G04
Y1	3	71	N0130	166307	133654	80.37	3119484	23.34	1.47	G10
Y1	3	72	N0077	192919	132574	68.72	45920982	346.38	4.42	G04
Y1	3	73	N0131	167142	132078	79.02	8573183	64.91	2.07	G03
Y1	3	74	N0132	133296	131439	98.61	95209154	724.36	4.69	G04
Y1	3	75	N0133	238871	130869	54.79	2035013	15.55	1.51	G04
Y1	3	76	N0134	130254	128493	98.65	6510740	50.67	1.3	G04
Y1	3	77	N0135	167163	125483	75.07	4428295	35.29	2	G03
Y1	3	78	N0062	484108	122669	25.34	2166335	17.66	1.31	G04
Y1	3	79	N0136	162662	120327	73.97	72196	0.6	1	G10
Y1	3	80	N0047	595941	117754	19.76	983246	8.35	1.19	G05
Y1	3	81	N0137	134868	117709	87.28	113001	0.96	1.01	G01
Y1	3	82	N0083	284326	115725	40.7	1735875	15	1.67	G05
Y1	3	83	N0118	140946	113911	80.82	259717	2.28	1.02	G05
Y1	3	84	N0059	521215	113535	21.78	13643501	120.17	3.09	G03
Y1	3	85	N0095	132400	110929	83.78	4173149	37.62	6.15	G04
Y1	3	86	N0036	417480	108721	26.04	3299682	30.35	1.97	G03
Y1	3	87	N0122	108499	108499	100	2517177	23.2	3.71	G04
Y1	3	88	N0138	125928	105372	83.68	623802	5.92	1.33	G04
Y1	3	89	N0139	125790	105020	83.49	21369470	203.48	3.92	G06
Y1	3	90	N0078	170224	104769	61.55	14991396	143.09	3.69	G04
Y1	3	91	N0105	142031	104579	73.63	6026888	57.63	2.1	G01
Y1	3	92	N0088	184773	103649	56.1	33204994	320.36	4.8	G06
Y1	3	93	N0075	190180	103527	54.44	455519	4.4	2.58	G02
Y1	3	94	N0140	143297	103450	72.19	436559	4.22	1.38	G05
Y1	3	95	N0092	139675	103423	74.05	950457	9.19	1.17	G03
Y1	3	96	N0041	470583	100681	21.39	929286	9.23	1.59	G01
Y1	3	97	N0120	157749	100565	63.75	716023	7.12	3.1	G07
Y1	3	98	N0072	324171	99797	30.79	7918892	79.35	2.9	G09
Y1	3	99	N0053	319407	99335	31.1	109269	1.1	1.29	G07
Y1	3	100	N0070	166982	99278	59.45	890524	8.97	2.2	G05
Y1	4	1	N0001	7128713	5748960	80.65	550290451	95.72	4.04	G01
Y1	4	2	N0003	7679958	4806462	62.58	735052234	152.93	4.24	G03
Y1	4	3	N0002	7732617	4654533	60.19	372641912	80.06	4.04	G02
Y1	4	4	N0141	4585130	4548079	99.19	558094774	122.71	3.1	G05
Y1	4	5	N0005	2775756	2066125	74.43	128120411	62.01	2.95	G03
Y1	4	6	N0004	3849522	1798086	46.71	60451651	33.62	2.47	G03
Y1	4	7	N0006	2357346	1764477	74.85	999999695	566.74	5.33	G04
Y1	4	8	N0028	1644881	1311837	79.75	151556529	115.53	2.93	G05
Y1	4	9	N0126	1308380	1271366	97.17	89631303	70.5	3.04	G05
Y1	4	10	N0102	1290491	1035962	80.28	51621986	49.83	2.86	G06
Y1	4	11	N0012	1258059	983256	78.16	140123813	142.51	3.47	G04
Y1	4	12	N0010	2658025	895241	33.68	18245012	20.38	2.33	G03
Y1	4	13	N0101	1957251	849120	43.38	36843317	43.39	2.01	G05
Y1	4	14	N0011	989986	808565	81.67	211658060	261.77	5.45	G04
Y1	4	15	N0037	890073	731826	82.22	46214812	63.15	2.97	G03
Y1	4	16	N0008	1288237	707804	54.94	39325590	55.56	2.39	G05
Y1	4	17	N0019	823330	645840	78.44	39835411	61.68	3.43	G05
Y1	4	18	N0125	760294	638748	84.01	82289905	128.83	1.76	G10
Y1	4	19	N0013	1031042	617155	59.86	30765177	49.85	4.05	G05
Y1	4	20	N0018	759974	614361	80.84	59930916	97.55	4.2	G07
Y1	4	21	N0142	662699	604157	91.17	27193107	45.01	1.5	G02
Y1	4	22	N0016	649612	586442	90.28	54826463	93.49	3.94	G03
Y1	4	23	N0014	927370	576008	62.11	29036563	50.41	3.08	G03
Y1	4	24	N0025	642609	546613	85.06	20049765	36.68	3.22	G03
Y1	4	25	N0103	614919	526989	85.7	184878281	350.82	4.32	G04
Y1	4	26	N0040	573976	508834	88.65	98403407	193.39	2.76	G04
Y1	4	27	N0021	541382	445296	82.25	140156916	314.75	5.43	G04
Y1	4	28	N0015	1236515	417144	33.74	12697863	30.44	2.84	G03
Y1	4	29	N0017	480746	375860	78.18	158353577	421.31	5.28	G04
Y1	4	30	N0099	375759	350083	93.17	99966201	285.55	5.01	G04
Y1	4	31	N0104	465118	329522	70.85	22624981	68.66	3.75	G03
Y1	4	32	N0030	1058429	319698	30.2	1790309	5.6	1.25	G08
Y1	4	33	N0035	537239	316830	58.97	16696941	52.7	1.88	G04
Y1	4	34	N0032	395200	277136	70.13	63962989	230.8	3.89	G06
Y1	4	35	N0034	399135	275358	68.99	39915896	144.96	4.05	G09
Y1	4	36	N0022	752891	244380	32.46	3841654	15.72	1.66	G05
Y1	4	37	N0128	253061	242431	95.8	30691765	126.6	2.73	G04
Y1	4	38	N0054	306512	237903	77.62	3244997	13.64	4.36	G07
Y1	4	39	N0038	486498	237431	48.8	22309017	93.96	2.96	G02
Y1	4	40	N0042	356970	231541	64.86	1261898	5.45	1.24	G07
Y1	4	41	N0143	234529	231396	98.66	7478719	32.32	2.66	G05
Y1	4	42	N0023	459952	221046	48.06	623350	2.82	2.17	G07
Y1	4	43	N0046	354744	212139	59.8	9535648	44.95	2.67	G01
Y1	4	44	N0113	250361	212113	84.72	7277597	34.31	2.28	G04
Y1	4	45	N0056	490337	210147	42.86	4123084	19.62	1.81	G05
Y1	4	46	N0029	497711	203073	40.8	3316182	16.33	2.52	G03
Y1	4	47	N0020	483783	199373	41.21	9653641	48.42	2.39	G03
Y1	4	48	N0026	932321	195400	20.96	4363282	22.33	1.82	G05
Y1	4	49	N0144	203829	190963	93.69	114578	0.6	1	G10
Y1	4	50	N0086	531525	189788	35.71	2786088	14.68	1.61	G03
Y1	4	51	N0145	374972	185982	49.6	228758	1.23	1	G07
Y1	4	52	N0065	687983	177715	25.83	1634978	9.2	1.21	G05
Y1	4	53	N0058	402833	158974	39.46	4006145	25.2	1.29	G01
Y1	4	54	N0064	746936	157209	21.05	3400431	21.63	1.7	G05
Y1	4	55	N0134	179904	155030	86.17	13949599	89.98	1.95	G04
Y1	4	56	N0033	513909	154693	30.1	57182267	369.65	3.32	G03
Y1	4	57	N0043	245147	152411	62.17	10978164	72.03	3.22	G03
Y1	4	58	N0024	784598	149818	19.09	1549118	10.34	2.58	G03
Y1	4	59	N0055	267533	144472	54	71687006	496.2	5.34	G04
Y1	4	60	N0052	205555	143166	69.65	18804854	131.35	3.4	G04
Y1	4	61	N0071	150205	139351	92.77	1392116	9.99	1.66	G04
Y1	4	62	N0107	211755	137322	64.85	14439408	105.15	2.61	G04
Y1	4	63	N0080	174824	136372	78.01	32993842	241.94	6.11	G04
Y1	4	64	N0146	189370	136362	72.01	593175	4.35	1.03	G07
Y1	4	65	N0049	275097	132925	48.32	1193667	8.98	4.43	G04
Y1	4	66	N0129	175065	130994	74.83	20596187	157.23	4.52	G04
Y1	4	67	N0147	136761	129669	94.81	5334583	41.14	1.69	G05
Y1	4	68	N0050	609737	129570	21.25	1145399	8.84	1.85	G07
Y1	4	69	N0044	310824	127270	40.95	11526844	90.57	2.65	G10
Y1	4	70	N0077	193814	124939	64.46	45632720	365.24	5.1	G04
Y1	4	71	N0093	209887	124549	59.34	454604	3.65	1.71	G01
Y1	4	72	N0132	137386	124203	90.4	3577046	28.8	1.18	G04
Y1	4	73	N0148	516062	121819	23.61	677314	5.56	1.11	G05
Y1	4	74	N0066	517131	121473	23.49	666887	5.49	1.35	G03
Y1	4	75	N0149	132843	120247	90.52	7562334	62.89	1.34	G10
